cluster_id,original_label,LATITUDE,LONGITUDE,INSPECTION_YEAR,INSPECTION_DATE,SPECIES,LANDOWNER_TYPE
25,30,30.206969,-97.844649,2008,2008-04-21,Live Oak,Unknown
25,30,30.207397,-97.844378,2010,2010-08-16,Live Oak,Unknown
25,30,30.207479,-97.844955,2011,2011-02-15,Live Oak,Unknown
25,30,30.207397,-97.844378,2011,2011-06-02,Live Oak,Unknown
25,30,30.207451,-97.844047,2014,2014-08-19,Live Oak,Unknown
26,31,30.42621,-97.72065,2006,2006-12-20,Live Oak,Unknown
26,31,30.426445,-97.721112,2007,2007-01-24,Live Oak,Unknown
26,31,30.426743,-97.720914,2007,2007-08-09,Live Oak,Unknown
26,31,30.426594,-97.721003,2010,2010-02-22,Live Oak,Unknown
26,31,30.426445,-97.721112,2011,2011-08-02,Live Oak,Unknown
26,31,30.426371,-97.721674,2011,2011-09-26,Live Oak,Unknown
27,32,30.422465,-97.732915,2007,2007-02-12,Live Oak,Unknown
27,32,30.42343,-97.73275,2007,2007-05-24,Live Oak,Unknown
27,32,30.422448,-97.7326,2009,2009-05-18,Live Oak,Unknown
27,32,30.423376,-97.73251,2009,2009-06-09,Live Oak,Unknown
27,32,30.42343,-97.73275,2009,2009-06-09,"Live Oak, Red Oak",Unknown
27,32,30.422424,-97.732618,2010,2010-01-11,Live Oak,Unknown
27,32,30.422465,-97.732915,2010,2010-01-11,Live Oak,Unknown
27,32,30.422955,-97.732509,2010,2010-08-23,Live Oak,Unknown
27,32,30.42375,-97.732142,2011,2011-04-07,Live Oak,Unknown
27,32,30.422504,-97.732618,2011,2011-04-27,Live Oak,Unknown
27,32,30.422597,-97.733299,2012,2012-04-03,Live Oak,Unknown
28,33,30.263473,-97.805209,2007,2007-05-08,Live Oak,Unknown
28,33,30.263633,-97.805398,2007,2007-07-24,Live Oak,Unknown
28,33,30.263633,-97.805398,2008,2008-07-28,Live Oak,Unknown
28,33,30.263844,-97.805089,2008,2008-07-28,Live Oak,Unknown
28,33,30.263473,-97.805209,2008,2008-08-20,Live Oak,Unknown
29,34,30.422712,-97.728319,2007,2007-05-15,Live Oak,Unknown
29,34,30.422836,-97.728286,2007,2007-05-24,Live Oak,Unknown
29,34,30.422524,-97.728415,2009,2009-04-28,Live Oak,Unknown
29,34,30.42261,-97.728505,2010,2010-04-20,Live Oak,Unknown
31,36,30.426473,-97.719395,2007,2007-06-11,Live Oak,Unknown
31,36,30.426673,-97.71881,2007,2007-06-26,Live Oak,Unknown
31,36,30.426396,-97.718991,2008,2008-06-03,Live Oak,Unknown
31,36,30.426473,-97.719395,2010,2010-10-05,Live Oak,Unknown
31,36,30.425946,-97.719313,2011,2011-03-31,Live Oak,Unknown
33,39,30.251868,-97.778558,2007,2007-06-11,Live Oak,Unknown
33,39,30.251868,-97.778558,2008,2008-04-02,Live Oak,Unknown
33,39,30.251357,-97.778434,2011,2011-04-14,Live Oak,Unknown
33,39,30.251309,-97.778046,2011,2011-04-25,Live Oak,Public
33,39,30.251303,-97.778039,2011,2011-04-25,Live Oak,Municipal - ROW
33,39,30.251754,-97.778212,2011,2011-06-07,Live Oak,Unknown
34,41,30.248132,-97.746,2008,2008-06-23,Live Oak,Unknown
34,41,30.248192,-97.745589,2009,2009-11-03,Live Oak,Unknown
34,41,30.248192,-97.745589,2010,2010-11-10,Live Oak,Unknown
35,42,30.414706,-97.682487,2008,2008-09-01,Live Oak,Private
35,42,30.414546,-97.682054,2008,2008-09-01,Live Oak,Private
35,42,30.414638,-97.682276,2009,2009-08-25,Live Oak,Unknown
36,43,30.244359,-97.826835,2008,2008-09-09,"Live Oak, Red Oak",Unknown
36,43,30.244359,-97.826835,2009,2009-04-02,Live Oak,Unknown
36,43,30.244485,-97.826645,2009,2009-06-16,"Live Oak, Red Oak",Unknown
37,44,30.209736,-97.886114,2007,2007-08-15,Live Oak,Unknown
37,44,30.209911,-97.885577,2008,2008-09-11,Live Oak,Unknown
37,44,30.209364,-97.88538,2009,2009-06-08,Live Oak,Unknown
39,47,30.369477,-97.664633,2008,2008-06-12,Live Oak,Unknown
39,47,30.369051,-97.664404,2009,2009-04-29,"Live Oak, Red Oak, Shumard Oak",Unknown
39,47,30.368624,-97.6641,2011,2011-05-05,Live Oak,Unknown
40,48,30.226268,-97.863196,2008,2008-02-20,Live Oak,Unknown
40,48,30.226245,-97.863722,2009,2009-05-13,Live Oak,Unknown
40,48,30.226279,-97.863367,2012,2012-10-15,Live Oak,Unknown
41,49,30.303714,-97.770785,2009,2009-05-19,Live Oak,Unknown
41,49,30.303167,-97.770953,2009,2009-11-10,Live Oak,Private
41,49,30.303714,-97.770785,2009,2009-11-10,Live Oak,Unknown
41,49,30.30384,-97.77118,2010,2010-04-28,Live Oak,Unknown
41,49,30.303318,-97.770458,2010,2010-05-11,Live Oak,Unknown
41,49,30.303793,-97.771435,2013,2013-12-31,Live Oak,Public
41,49,30.303788,-97.771427,2013,2013-12-31,Live Oak,Municipal - ROW
41,49,30.303793,-97.771435,2017,2017-11-13,Live Oak,Public
41,49,30.303788,-97.771427,2017,2017-11-13,Live Oak,Municipal - ROW
42,51,30.200321,-97.820483,2007,2007-08-14,Live Oak,Private
42,51,30.200165,-97.821229,2008,2008-08-14,Live Oak,Unknown
42,51,30.200378,-97.820704,2010,2010-07-12,Live Oak,Unknown
43,52,30.255054,-97.780926,2010,2010-07-26,"Live Oak, Red Oak",Unknown
43,52,30.254816,-97.781,2010,2010-07-27,Live Oak,Unknown
43,52,30.254816,-97.781,2013,2013-10-01,Live Oak,Unknown
45,54,30.229749,-97.850096,2011,2011-04-21,Live Oak,Unknown
45,54,30.229546,-97.849848,2012,2012-08-27,Live Oak,Unknown
45,54,30.229546,-97.849848,2012,2012-08-27,Live Oak,Unknown
46,55,30.304315,-97.769949,2011,2011-05-01,Live Oak,Public
46,55,30.30431,-97.769941,2011,2011-05-01,Live Oak,Municipal - ROW
46,55,30.3043,-97.769669,2011,2011-05-19,Live Oak,Unknown
46,55,30.304315,-97.769949,2015,2015-10-26,Live Oak,Public
46,55,30.30431,-97.769941,2015,2015-10-26,Live Oak,Municipal - ROW
46,55,30.304259,-97.769669,2017,2017-04-13,Live Oak,Private
46,55,30.304186,-97.770703,2017,2017-04-13,Live Oak,Public - Parkland
46,55,30.304247,-97.770202,2019,2019-12-23,Live Oak,Municipal - Parkland
47,57,30.408669,-97.759445,2011,2011-07-01,Live Oak,Private
47,57,30.408775,-97.75971,2011,2011-07-28,Live Oak,Unknown
47,57,30.408448,-97.759193,2011,2011-08-09,Live Oak,Unknown
47,57,30.408873,-97.759957,2013,2013-07-08,Live Oak,Unknown
48,58,30.450842,-97.804527,2011,2011-08-25,Live Oak,Unknown
48,58,30.450942,-97.804581,2011,2011-09-15,Live Oak,Unknown
48,58,30.45069,-97.804891,2011,2011-10-06,Live Oak,Private
48,58,30.450685,-97.804883,2011,2011-10-06,Live Oak,Private
48,58,30.450942,-97.804581,2014,2014-04-16,Live Oak,Unknown
48,58,30.450942,-97.804581,2016,2016-02-09,Live Oak,Unknown
48,58,30.450641,-97.804692,2017,2017-10-09,Live Oak,Private
48,58,30.450307,-97.805543,2017,2017-10-09,Live Oak,Private
48,58,30.4503,-97.805385,2017,2017-11-13,Live Oak,Private
48,58,30.450294,-97.805377,2017,2017-11-13,Live Oak,Private
48,58,30.45069,-97.804891,2017,2017-11-30,Live Oak,Private
48,58,30.450685,-97.804883,2017,2017-11-30,Live Oak,Private
49,59,30.427579,-97.768197,2011,2011-09-21,Live Oak,Unknown
49,59,30.427961,-97.768361,2011,2011-10-03,Live Oak,Unknown
49,59,30.427841,-97.768278,2011,2011-10-14,Live Oak,Private
49,59,30.427836,-97.76827,2011,2011-10-14,Live Oak,Private
49,59,30.428015,-97.767883,2012,2012-06-05,Live Oak,Unknown
50,60,30.385049,-97.677987,2011,2011-10-31,Live Oak,Unknown
50,60,30.385242,-97.677904,2013,2013-05-30,Live Oak,Unknown
50,60,30.385049,-97.677987,2015,2015-04-07,Live Oak,Unknown
50,60,30.385049,-97.677987,2015,2015-07-15,Live Oak,Unknown
52,62,30.345773,-97.757513,2012,2012-05-21,Live Oak,Unknown
52,62,30.345641,-97.757916,2013,2013-06-26,Live Oak,Unknown
52,62,30.345467,-97.757624,2013,2013-06-26,Live Oak,Unknown
52,62,30.345821,-97.758533,2014,2014-10-02,Live Oak,Unknown
54,64,30.414397,-97.682974,2012,2012-11-20,Live Oak,Unknown
54,64,30.413528,-97.681788,2015,2015-08-26,Live Oak,Unknown
54,64,30.41447,-97.683108,2015,2015-10-20,Live Oak,Public
54,64,30.413553,-97.682029,2015,2015-10-20,Live Oak,Public
54,64,30.413379,-97.682093,2015,2015-10-20,Live Oak,Public
54,64,30.413179,-97.6821,2015,2015-10-20,Live Oak,Public
54,64,30.413174,-97.682093,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.413115,-97.682098,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.413374,-97.682086,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.413308,-97.682088,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.413547,-97.682021,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.414465,-97.6831,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.414587,-97.68289,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.41438,-97.683167,2015,2015-10-20,Live Oak,Municipal - ROW
54,64,30.413366,-97.681995,2015,2015-10-21,Live Oak,Private
54,64,30.413612,-97.681945,2015,2015-10-21,Live Oak,Private
54,64,30.413578,-97.681963,2015,2015-10-21,Live Oak,Private
54,64,30.413189,-97.68202,2015,2015-10-26,Live Oak,Private
