cluster_id,original_label,point_count,unique_years,start_year,end_year,year_span,annual_counts,centroid_lat,centroid_lon,radius_km,mean_distance_km,std_distance_km,area_km2,point_density_per_km2,spread_rate_km_per_year,dominant_species,dominant_landowner,eps_m,temporal_scale_m,min_samples,min_unique_years
1,0,3,2,1989,1990,1,"{""1989"": 1, ""1990"": 2}",30.296167000163777,-97.77728766666668,0.0333295904444857,0.0229435910226711,0.0103635352560541,0.0034898746391927,859.6297317699374,0.0333295904444857,Live Oak,Unknown,80.0,20.0,3,2
3,4,6,5,1992,1999,7,"{""1992"": 1, ""1993"": 1, ""1995"": 2, ""1997"": 1, ""1999"": 1}",30.245314833525185,-97.8255835,0.058129818196422,0.0407947265553397,0.0135982376266974,0.0106156795946891,565.2016855333242,0.008304259742346,Live Oak,Unknown,80.0,20.0,3,2
5,7,3,2,1994,1995,1,"{""1994"": 1, ""1995"": 2}",30.42032333336624,-97.73031966666666,0.0146530556570946,0.0097687037713618,0.004229972814067,0.0006745377677837,4447.490034333815,0.0146530556570946,Live Oak,Unknown,80.0,20.0,3,2
6,8,4,2,1995,1998,3,"{""1995"": 3, ""1998"": 1}",30.391899750077197,-97.76287874999998,0.0323449035651094,0.0197442680078427,0.0094116632954526,0.003286711572735,1217.0219112568543,0.0107816345217031,Live Oak,Unknown,80.0,20.0,3,2
8,10,9,6,1996,2001,5,"{""1996"": 3, ""1997"": 1, ""1998"": 1, ""1999"": 1, ""2000"": 1, ""2001"": 2}",30.23969344500791,-97.85253177777776,0.0784051015778486,0.0536766564283679,0.0151213472302848,0.0193125008686764,466.01939651417047,0.0156810203155697,Live Oak,Unknown,80.0,20.0,3,2
9,12,3,3,1993,1998,5,"{""1993"": 1, ""1996"": 1, ""1998"": 1}",30.284765000186184,-97.77063366666668,0.0430090735342319,0.0322393706096362,0.0104478791505087,0.0058112565351014,516.2394710815504,0.0086018147068463,Live Oak,Unknown,80.0,20.0,3,2
11,14,5,3,1997,2001,4,"{""1997"": 1, ""1999"": 2, ""2001"": 2}",30.24670520021623,-97.7841528,0.0505681081274901,0.023757006140849,0.0151327352349816,0.0080334720050669,622.3958951803569,0.0126420270318725,Live Oak,Unknown,80.0,20.0,3,2
12,15,3,2,1997,1999,2,"{""1997"": 1, ""1999"": 2}",30.237588333349343,-97.80641033333332,0.0180220545737468,0.0120147030494117,0.0052025190295373,0.001020371861374,2940.1045967302784,0.0090110272868734,Live Oaks,Unknown,80.0,20.0,3,2
13,16,5,3,1997,2000,3,"{""1997"": 1, ""1999"": 3, ""2000"": 1}",30.226345400165016,-97.86339619999998,0.0469837662334464,0.0310627748905272,0.0111650435311751,0.006934985010816,720.9820918432896,0.0156612554111488,Live Oaks,Unknown,80.0,20.0,3,2
14,17,3,2,1998,2000,2,"{""1998"": 1, ""2000"": 2}",30.19319700001791,-97.80579133333332,0.0446702374782142,0.0297801583193367,0.0128951868159491,0.0062688285943085,478.55830716502135,0.0223351187391071,Live Oak,Unknown,80.0,20.0,3,2
15,18,6,4,1998,2001,3,"{""1998"": 2, ""1999"": 1, ""2000"": 2, ""2001"": 1}",30.20274433353265,-97.81590733333331,0.0529438056297146,0.0372432290025599,0.01534755454718,0.0088060304634664,681.3512654642927,0.0176479352099049,Live Oak,Unknown,80.0,20.0,3,2
16,19,4,3,1998,2001,3,"{""1998"": 1, ""2000"": 2, ""2001"": 1}",30.178303750181353,-97.84385425,0.0467851940500259,0.0247973130451614,0.018947521222961,0.006876488847207,581.6922107893231,0.0155950646833419,Live Oak,Unknown,80.0,20.0,3,2
17,21,5,3,1999,2001,2,"{""1999"": 2, ""2000"": 1, ""2001"": 2}",30.35530180012114,-97.7661092,0.0673858084341893,0.0469914441806622,0.0196840388123778,0.0142654921365131,350.4961449736652,0.0336929042170946,Live Oak,Unknown,80.0,20.0,3,2
18,22,3,3,1995,2000,5,"{""1995"": 1, ""1999"": 1, ""2000"": 1}",30.23762000000687,-97.80743666666666,0.0154774805334719,0.010318320356006,0.0044679637758784,0.0007525760715006,3986.3079808239263,0.0030954961066943,Live Oak,Unknown,80.0,20.0,3,2
19,23,4,3,1999,2001,2,"{""1999"": 1, ""2000"": 1, ""2001"": 2}",30.20770775051266,-97.88045124999998,0.0603222000452133,0.0440765447618376,0.0170358748586714,0.0114315262460736,349.9095321041537,0.0301611000226066,Live Oak,Unknown,80.0,20.0,3,2
20,24,3,2,1999,2000,1,"{""1999"": 2, ""2000"": 1}",30.22758566688629,-97.864813,0.0465405925705557,0.0385871206013487,0.0117962761162601,0.0068047737466998,440.866972462521,0.0465405925705557,Live Oaks,Unknown,80.0,20.0,3,2
21,25,4,3,2006,2008,2,"{""2006"": 1, ""2007"": 1, ""2008"": 2}",30.242377000726627,-97.73435599999998,0.0752617519882806,0.0478548650665432,0.0229805641292408,0.0177950216383631,224.7819688724997,0.0376308759941403,Live Oak,Unknown,80.0,20.0,3,2
22,26,3,2,2006,2010,4,"{""2006"": 2, ""2010"": 1}",30.42675366670692,-97.76935233333334,0.0168631682176045,0.0112421121451215,0.004867977354867,0.0008933635261678,3358.095458484663,0.0042157920544011,Live Oaks,Unknown,80.0,20.0,3,2
23,28,3,3,2006,2009,3,"{""2006"": 1, ""2008"": 1, ""2009"": 1}",30.24331400005572,-97.83188933333332,0.0330670862642241,0.0220447241746277,0.0095456455793009,0.0034351185478866,873.3323051821972,0.0110223620880747,Live Oak,Unknown,80.0,20.0,3,2
