cluster_id,date,duration_days,current_points,current_radius_ft,regional_precip,regional_humidity,regional_wind
1,1989-10-11,0,1,0.0,2.061191860465116,65.88392441860465,3.0462790697674413
1,1990-06-19,251,2,157.72983246562595,2.061191860465116,65.88392441860465,3.0462790697674413
1,1990-09-19,343,3,157.72983246562595,2.061191860465116,65.88392441860465,3.0462790697674413
3,1992-07-07,0,1,0.0,2.331423416198877,69.0626263031275,2.9901724137931036
3,1993-05-25,322,2,89.12090661939811,2.331423416198877,69.0626263031275,2.9901724137931036
3,1995-10-05,1185,4,202.07178699229652,2.331423416198877,69.0626263031275,2.9901724137931036
3,1997-04-24,1752,5,259.29364257287705,2.331423416198877,69.0626263031275,2.9901724137931036
3,1999-05-05,2493,6,301.3238198473265,2.331423416198877,69.0626263031275,2.9901724137931036
5,1994-09-23,0,1,0.0,2.8661538461538463,73.64698996655517,2.7823076923076924
5,1995-04-05,194,2,0.0,2.8661538461538463,73.64698996655517,2.7823076923076924
5,1995-07-18,298,3,62.07139653378128,2.8661538461538463,73.64698996655517,2.7823076923076924
6,1995-06-20,0,2,71.75608516377332,2.320531309297913,68.19571157495255,2.9355787476280835
6,1995-06-21,1,3,142.80325850837065,2.320531309297913,68.19571157495255,2.9355787476280835
6,1998-05-08,1053,4,142.80325850837065,2.320531309297913,68.19571157495255,2.9355787476280835
8,1996-04-01,0,1,0.0,2.3411761786600493,68.2852258064516,3.017707196029777
8,1996-06-11,71,2,0.0,2.3411761786600493,68.2852258064516,3.017707196029777
8,1996-10-29,211,3,109.20231817967706,2.3411761786600493,68.2852258064516,3.017707196029777
8,1997-02-11,316,4,257.33353712848157,2.3411761786600493,68.2852258064516,3.017707196029777
8,1998-06-05,795,5,257.33353712848157,2.3411761786600493,68.2852258064516,3.017707196029777
8,1999-09-07,1254,6,257.33353712848157,2.3411761786600493,68.2852258064516,3.017707196029777
8,2000-06-02,1523,7,310.88128168423094,2.3411761786600493,68.2852258064516,3.017707196029777
8,2001-08-14,1961,8,310.88128168423094,2.3411761786600493,68.2852258064516,3.017707196029777
8,2001-10-06,2014,9,310.88128168423094,2.3411761786600493,68.2852258064516,3.017707196029777
9,1993-05-25,0,1,0.0,2.328974358974359,69.00849067599069,2.9130361305361308
9,1996-10-02,1226,2,94.79187572617838,2.328974358974359,69.00849067599069,2.9130361305361308
9,1998-02-03,1715,3,203.95714381465203,2.328974358974359,69.00849067599069,2.9130361305361308
11,1997-05-05,0,1,0.0,2.445484522207268,70.10858681022881,2.8724091520861377
11,1999-03-26,690,2,0.0,2.445484522207268,70.10858681022881,2.8724091520861377
11,1999-05-12,737,3,76.0210333638968,2.445484522207268,70.10858681022881,2.8724091520861377
11,2001-04-04,1430,4,76.0210333638968,2.445484522207268,70.10858681022881,2.8724091520861377
11,2001-05-29,1485,5,193.60146601239558,2.445484522207268,70.10858681022881,2.8724091520861377
12,1997-05-14,0,1,0.0,2.7672693726937267,71.92380073800739,2.8320295202952024
12,1999-07-21,798,2,0.0,2.7672693726937267,71.92380073800739,2.8320295202952024
12,1999-08-04,812,3,76.48528881958748,2.7672693726937267,71.92380073800739,2.8320295202952024
13,1997-07-15,0,1,0.0,2.0123703703703706,66.52179894179895,2.988148148148148
13,1999-06-10,695,3,209.00189811517777,2.0123703703703706,66.52179894179895,2.988148148148148
13,1999-07-07,722,4,209.00189811517777,2.0123703703703706,66.52179894179895,2.988148148148148
13,2000-02-14,944,5,209.00189811517777,2.0123703703703706,66.52179894179895,2.988148148148148
14,1998-03-04,0,1,0.0,2.191603535353535,68.08367424242425,2.954229797979798
14,2000-03-31,758,2,189.66519807812062,2.191603535353535,68.08367424242425,2.954229797979798
14,2000-05-03,791,3,189.66519807812062,2.191603535353535,68.08367424242425,2.954229797979798
15,1998-07-28,0,2,174.30011224235614,2.117974910394265,67.71592293906811,3.0314157706093185
15,1999-02-17,204,3,174.30011224235614,2.117974910394265,67.71592293906811,3.0314157706093185
15,2000-03-02,583,4,174.30011224235614,2.117974910394265,67.71592293906811,3.0314157706093185
15,2000-06-02,675,5,193.12866046183262,2.117974910394265,67.71592293906811,3.0314157706093185
15,2001-08-16,1115,6,251.50008867187964,2.117974910394265,67.71592293906811,3.0314157706093185
16,1998-10-12,0,1,0.0,2.0645820433436537,68.45135190918472,3.0691950464396287
16,2000-02-22,498,2,44.237879165369726,2.0645820433436537,68.45135190918472,3.0691950464396287
16,2000-03-21,526,3,176.19734828182743,2.0645820433436537,68.45135190918472,3.0691950464396287
16,2001-06-06,968,4,176.19734828182743,2.0645820433436537,68.45135190918472,3.0691950464396287
17,1999-03-24,0,1,0.0,2.1050893921334923,66.91983313468414,2.947961859356377
17,1999-06-30,98,2,140.40646670965646,2.1050893921334923,66.91983313468414,2.947961859356377
17,2000-08-22,517,3,264.6196735689134,2.1050893921334923,66.91983313468414,2.947961859356377
17,2001-03-26,733,4,264.6196735689134,2.1050893921334923,66.91983313468414,2.947961859356377
17,2001-07-09,838,5,264.6196735689134,2.1050893921334923,66.91983313468414,2.947961859356377
18,1995-05-26,0,1,0.0,2.3910792131844767,68.96070707070707,2.9070175438596495
18,1999-04-28,1433,2,0.0,2.3910792131844767,68.96070707070707,2.9070175438596495
18,2000-07-18,1880,3,65.68611737060151,2.3910792131844767,68.96070707070707,2.9070175438596495
19,1999-06-28,0,1,0.0,1.9808560794044667,65.87302729528537,3.0272952853598016
19,2000-02-29,246,2,250.03474286208834,1.9808560794044667,65.87302729528537,3.0272952853598016
