cluster_id,patient_zero_lat,patient_zero_lon,patient_zero_date,duration_days,radius_ft,point_count,point_density,avg_precip,total_precip,avg_humidity,avg_wind
1,30.296323,-97.777386,1989-10-11,343,157.72983246562595,3,859.6297317699374,2.061191860465116,709.05,65.88392441860465,3.0462790697674413
3,30.245026,-97.825219,1992-07-07,2493,301.3238198473265,6,565.2016855333242,2.331423416198877,5814.57,69.0626263031275,2.9901724137931036
5,30.42038,-97.730316,1994-09-23,298,62.07139653378128,3,4447.490034333815,2.8661538461538463,856.98,73.64698996655517,2.7823076923076924
6,30.391805,-97.763004,1995-06-20,1053,142.80325850837065,4,1217.0219112568543,2.320531309297913,2445.84,68.19571157495255,2.9355787476280835
8,30.240076,-97.85261,1996-04-01,2014,310.88128168423094,9,466.01939651417047,2.3411761786600493,4717.469999999999,68.2852258064516,3.017707196029777
9,30.284668,-97.770894,1993-05-25,1715,203.95714381465203,3,516.2394710815504,2.328974358974359,3996.52,69.00849067599069,2.9130361305361308
11,30.246845,-97.784126,1997-05-05,1485,193.60146601239558,5,622.3958951803569,2.445484522207268,3633.9900000000002,70.10858681022881,2.8724091520861377
12,30.237628,-97.806477,1997-05-14,812,76.48528881958748,3,2940.1045967302784,2.7672693726937267,2249.79,71.92380073800739,2.8320295202952024
13,30.226705,-97.863326,1997-07-15,944,209.00189811517777,5,720.9820918432896,2.0123703703703706,1901.69,66.52179894179895,2.9881481481481478
14,30.193281,-97.805402,1998-03-04,791,189.66519807812062,3,478.55830716502135,2.191603535353535,1735.7499999999998,68.08367424242425,2.954229797979798
15,30.202467,-97.815733,1998-07-28,1115,251.50008867187964,6,681.3512654642927,2.117974910394265,2363.66,67.71592293906811,3.0314157706093185
16,30.178424,-97.843819,1998-10-12,968,176.19734828182743,4,581.6922107893231,2.0645820433436537,2000.5800000000004,68.45135190918472,3.0691950464396287
17,30.355163,-97.766316,1999-03-24,838,264.6196735689134,5,350.4961449736652,2.1050893921334923,1766.17,66.91983313468414,2.947961859356377
18,30.237594,-97.807374,1995-05-26,1880,65.68611737060151,3,3986.3079808239263,2.3910792131844767,4497.620000000001,68.96070707070707,2.9070175438596495
19,30.207531,-97.880142,1999-06-28,805,250.03474286208834,4,349.9095321041537,1.9808560794044667,1596.5700000000002,65.87302729528537,3.0272952853598016
20,30.227879,-97.865057,1999-04-08,299,246.84672403954696,3,440.866972462521,1.3857333333333335,415.72,60.903866666666666,2.9537333333333335
21,30.242291,-97.734498,2006-05-01,707,197.72738952566056,4,224.7819688724997,2.519675141242938,1783.93,72.7661440677966,2.687358757062147
22,30.426691,-97.769331,2006-05-02,1596,71.42884060997325,3,3358.095458484663,2.390187852222918,3817.13,68.78209768315591,2.843575453976205
23,30.243462,-97.832132,2006-06-07,1000,140.32788749616003,3,873.3323051821972,1.9782117882117882,1980.19,66.84281718281719,2.94025974025974
24,30.423123,-97.734415,2006-07-11,805,227.01329881692374,4,210.79319692032868,2.3724937965260544,1912.23,70.32612903225805,2.8062158808933
25,30.206388,-97.844415,2006-12-13,2806,432.59275271491333,8,345.9742128654414,1.9832312076950478,5566.929999999999,66.18604916280727,3.0294798717491984
26,30.42621,-97.72065,2006-12-20,1741,327.20402477267794,6,418.27369438383346,2.100057405281286,3658.2999999999997,66.76772101033295,2.940028702640643
27,30.422465,-97.732915,2007-02-12,1877,527.7338523868594,11,219.50477579322288,2.1263897763578274,3993.3599999999997,66.86240149094782,2.954957401490948
28,30.263473,-97.805209,2007-05-08,470,140.4301378382872,5,1257.9814332902158,2.4222080679405518,1140.86,70.64976645435245,2.823057324840764
29,30.422712,-97.728319,2007-05-15,1071,74.88722671666486,4,2238.097959835706,2.2554664179104478,2417.86,68.57517723880596,2.875429104477612
